completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
"This was a series of nested polar scales , so that measurements in azimuth and elevation could be performed directly in angular coordinates relative to the ecliptic .","This was a series of nested angular standards, so that measurements in azimuth and elevation could be done directly in polar coordinates relative to the ecliptic.

","The first step in the process was to determine the azimuth and elevation of the object.

LABEL: 1

SENTENCE 1:
The",0.85,0.21,0.81,0.05
"His father emigrated to America in 1868 , but returned when his wife became ill and before the rest of the family could go to Missouri .","His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America.

LABEL","His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America.

LABEL",0.88,0.88,0.69,0.69
"In January 2011 , FIBA Asia deputy secretary general Hagop Khajirian along with SBP president Manuel V. Pangilinan inspected the venue .","In January 2011, the Deputy Secretary General of FIBA Asia, Hagop Khajirian, inspected the venue together with SBP - President Manuel V.","In January 2011, the Deputy Secretary General of FIBA Asia, Hagop Khajirian, inspected the venue together with SBP - President Manuel V.",0.63,0.63,0.7,0.7
"Steiner held that the spiritual world can be researched in the right circumstances through direct experience , by persons practicing rigorous forms of ethical and cognitive self-discipline .","Steiner argued that, in the right circumstances, the spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorous self-discipline.","The spiritual world can be explored through direct experience by practicing ethical and cognitive forms of rigorous self-discipline.

LABEL: 1

SENT",0.64,0.61,0.8,0.54
Luciano Williames Dias ( born 25 July 1970 ) is a former football coach and Brazilian player .,"Luciano Williames Dias ( born July 25, 1970 ) is a Brazilian football coach and former player.

LABEL: 1

SENT","Luciano Williames Dias ( born July 25, 1970 ) is a Brazilian football coach and former player.

LABEL: 1

SENT",0.73,0.73,0.58,0.58
"During her second , junior and senior summers , she spent half of it with her Alaska team , half playing and living in Oregon .","During her sophomore, junior and senior summers, she spent half of it with her Alaska team, and half playing, and living in Oregon.

LAB","During her sophomore, junior and senior summers, she spent half of it with her Alaska team, and half playing, and living in Oregon.

LAB",0.91,0.91,0.65,0.65
The smallest number that can be represented as a sum of four positive seventh potences in two different ways is 2056364173794800 .,"The smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2056364173794800.

S","The smallest number that can be represented in two positive and seventh ways as a sum of four different powers is 2056364173794800.

LAB",0.68,0.68,0.69,0.63
His father emigrated to Missouri in 1868 but returned when his wife became ill and before the rest of the family could also go to America .,"His father emigrated to Missouri in 1868, but returned when his wife became ill and before the rest of the family could go to America.

LABEL","His father emigrated to Missouri in 1868, but returned when his wife became ill and before the rest of the family could go to America.

LABEL",0.96,0.96,0.74,0.74
"The facilities of Villa Pesquera are operated by the Municipality of Ponce , but are owned by the fishermen .","The Villa Pesquera facilities are owned by the Municipality of Ponce, but operated by the fishermen themselves.

LABEL: 1

S","The Villa Pesquera facilities are owned by the Municipality of Ponce, but operated by the fishermen themselves.

LABEL: 1

S",0.68,0.68,0.6,0.6
It is situated south of Köroğlu - mountains and north of the Bolu .,"It is situated south of Köroğlu Mountains and to the north of Bolu.

LABEL: 2

SENTENCE 3:","It is situated south of Köroğlu Mountains and to the north of Bolu.

LABEL: 2

SENTENCE 1:",0.79,0.79,0.48,0.5
The Río Blanco - Mine is a large copper mine in northern Peru in the region of Loreto .,"The Río Blanco mine is a large copper mine located in the north of Peru in Loreto Region.

LABEL: 2

S","The Río Blanco mine is a large copper mine located in the north of Peru in Loreto Region.

LABEL: 2

S",0.7,0.7,0.56,0.56
He appeared as General Onoda in the Amazon - Show `` The Man in High Castle '' and as Tao on AMCs '' Hell On Wheels '' .,"He appeared as General Tao in the Amazon - Show `` The Man at the High Castle '', and as Onoda in AMC `` Hell On Wheels ''","He appeared as General Tao in the Amazon - Show `` The Man at the High Castle '', and as Onoda in AMC `` Hell On Wheels ''",0.76,0.76,0.76,0.76
"The spectral light levels that can be measured by plants for photosynthesis are similar , but not the same as what is used by lumens .","The spectral levels of light that can be measured by plants for photosynthesis is similar to, but not the same as what's used by lumens.
","The spectral levels of light that can be measured by plants for photosynthesis is similar to, but not the same as what's used by lumens.
",0.84,0.84,0.76,0.76
Sunset Road comes in from the right and becomes Briscoe Mountain Road .,"The Sunset Sunset Road comes from left and becomes Briscoe Mountain Road.

LABEL: 2

SENTENCE 1:
The","The Sunset Sunset Road comes from right and becomes Briscoe Mountain Road.

LABEL: 2

SENTENCE 1:
The",0.62,0.69,0.41,0.42
"To get there , take Marine Drive west from the Lions Gate Bridge past Horseshoe Bay to Lighthouse Park and then continue on to 7100 Block Marine Drive .","To get there, take the Marine Drive from the Lions Gate Bridge to the West, past Lighthouse Park, Horseshoe Bay and then further on to the","To get there, take the Marine Drive from the Lions Gate Bridge to the West, past Lighthouse Park, Horseshoe Bay and then further on to the",0.68,0.68,0.57,0.57
"Inverallan is one of the parishes that formed the civil ( later ecclesiastical ) parish of Cromdale , Inverallan and Advie in Morayshire , Scotland .","Inverallan is one of the parishes which formed the ecclesiastical ( later civil ) parish of `` Cromdale, Inverallan and Adv","Inverallan is one of the parishes which formed the ecclesiastical ( later civil ) parish of `` Cromdale, Inverallan and Adv",0.72,0.72,0.61,0.61
Thuso Nokwanda Mbedu was born Thuso Mbebu in Pietermaritzburg .,"Mr. Thuso Mbedu was born in Pietermaritzburg as Thuso Mbebu.

SENTENCE 1:
Mr.","Mr. Thuso Mbedu was born in Pietermaritzburg as Thuso Mbebu.

LABEL: 2

SENT",0.55,0.55,0.46,0.35
"For ideal gases the molar volume is given by the standard gas equation , a good approximation for many common gases at ideal temperature and pressure .","For ideal gases, the molar volume is given by the ideal gas equation, a good approximation for many usual gases at standard temperature and pressure.

LABEL","The molar volume of a gas is the volume of the gas at a given temperature and pressure.

LABEL: 1

SENTENCE 1:",0.86,0.43,0.73,0.25
John Barrow Island is a member of the Canadian Arctic Archipelago and the Queen Elizabeth Islands in the Nunavut area .,"John Barrow Island is a member of the Queen Elizabeth Islands and the Canadian Arctic Archipelago in the territory of Nunavut.

SENT","John Barrow Island is a member of the Queen Elizabeth Islands and the Canadian Arctic Archipelago in the territory of Nunavut.

LABEL",0.67,0.67,0.7,0.65
It was chosen as the 7th best film at the 19th Yokohama Film Festival .,"It was chosen as the 19th best movie at the 7th Yokohama Film Festival.

LABEL: 1

SENTENCE 1","It was chosen as the 19th best movie at the 7th Yokohama Film Festival.

LABEL: 1

SENTENCE 1",0.69,0.69,0.58,0.58
Christopher Llewellyn ( born Christopher Griffiths ) is an actor known for his role as Logan in the film 'Where Were We ... `` ' from the year 2002 .,"Christopher Griffiths ( born Christopher Llewellyn ) is an actor, best known for his role as Logan in the 2002 film `` Where Were We...","Christopher Griffiths ( born Christopher Llewellyn ) is an actor, best known for his role as Logan in the 2002 film `` Where Were We...",0.78,0.78,0.77,0.77
"Netanya is located on the Israeli Mediterranean coast , the historic land bridge between Europe , Africa and Asia .","Netanya is located on the Israeli Mediterranean Coastal Plain, the historic land bridge between Europe, Africa, and Asia.

SENTENCE 1:
","Netanya is located on the Israeli Mediterranean Coastal Plain, the historic land bridge between Europe, Africa, and Asia.

LABEL: 2

",0.86,0.86,0.69,0.69
Megasaurus is owned by Rick and Sheri Dorritie and Transaurus is owned by Mike West .,"Owned by Rick and Sheri Dorritie is Megasaurus and owned by Mike West Transaurus.

LABEL: 2

SENT","Owned by Rick and Sheri Dorritie is Megasaurus and owned by Mike West Transaurus.

LABEL: 2

SENT",0.69,0.69,0.48,0.48
All five events started on the last day and concluded with the final on the first day .,"All five events started the last day and concluded with the final on the first day.

LABEL: 2

SENTENCE 3:
All","All five events started the last day and concluded with the final on the first day.

LABEL: 2

SENTENCE 1:
All",0.84,0.84,0.51,0.52
"In January 2011 , the Deputy Secretary General of FIBA Asia , Hagop Khajirian , inspected the venue together with SBP - President Manuel V. Pangilinan .","In January 2011, FIBA Asia deputy secretary general Manuel V. Pangilinan along with SBP president Hagop Khajirian inspected the venue.","In January 2011, FIBA Asia deputy secretary general Manuel V. Pangilinan along with SBP president Hagop Khajirian inspected the venue.",0.52,0.52,0.78,0.78
The strong influence of redfigurine attic vase painting has convinced some experts that the artist who decorated the tomb was a Greek Metic .,"The strong influence of Attic-figure Greek vase painting has convinced some experts that the artist who decorated the tomb was a red metic.

LAB","The strong influence of Attic-figure Greek vase painting has convinced some experts that the artist who decorated the tomb was a red metic.

LAB",0.87,0.87,0.67,0.67
A unique feature of ceremonial metate is the lack of human figures .,"The human metate is a unique feature of the human metate.

LABEL: 1

SENTENCE 3:
The human metate","The human metate is a unique feature of the human metate.

LABEL: 1

SENTENCE 1:
The human metate",0.47,0.47,0.35,0.37
"Durr was born in Birmingham , Alabama , where she was brought up by black women , but was also taught that the Ku Klux Klan were protectors of southern femininity .","Durr was born in Birmingham, Alabama, where she was brought up by southern women, but was also taught that the Ku Klux Klan were protectors","Durr was born in Birmingham, Alabama, where she was brought up by southern women, but was also taught that the Ku Klux Klan were protectors",0.91,0.91,0.7,0.7
"Katrina M. of Sputinik Music was bright and cheerful and said the song is reversed , positive .","Katrina M. of Sputinik Music was negative and said that the song is reverse, bright and cheerful.

LABEL: 1

","Katrina M. of Sputinik Music was positive and said that the song is reverse, bright and cheerful.

LABEL: 1

",0.63,0.63,0.53,0.61
"The Mississippi , the Nokasippi and the Little Nokasippi are all in the vicinity .","The Nokasippi River, the Mississippi River and the Little Nokasippi River are all in the area.

LABEL: 2

","The Nokasippi River, the Mississippi River and the Little Nokasippi River are all in the area.

LABEL: 2

",0.65,0.65,0.58,0.58
Hamilton Ventura won the 2006 South America Games against Álvarez .,"In 2006, the Álvarez won the South America Games against Hamilton Ventura.

LABEL: 1

SENTENCE 1:
In","In 2006, the Álvarez won the South America Games against Hamilton Ventura.

LABEL: 1

SENTENCE 1:
In",0.44,0.44,0.37,0.37
"Some reports claim `` 30 years or more '' , while others assert `` 50 years or more '' .","Some reports state `` 30 years or more '', while others claim `` 50 years or more ''.

LABEL: 2

SENTENCE 1","The report states `` 30 years or more '', while the report states `` 50 years or more ''.

SENTENCE 1:
The report states",0.75,0.53,0.58,0.69
"The resignation of Councillor Horace Muspratt ( Party ? , St. Peter 's , reported 15 April 1908 ) was elected to the Council on 2 June 1909 .","The resignation of Councillor Horace Muspratt ( party?, St. Peter, reported April 15, 1908 ) was elected to the council on","The resignation of Councillor Horace Muspratt ( party?, St. Peter, reported April 15, 1908 ) was elected to the council on",0.86,0.86,0.58,0.58
"In an earth-like orbit , a Saturn planet , HD 38283 b , was discovered on April 11 , 2011 .","On April 11, 2011, a like planet, HD 38283 b, was discovered in an Earth-Saturnian orbit.

LABEL: 1","On April 11, 2011, a like planet, HD 38283 b, was discovered in an Earth-Saturnian orbit.

LABEL: 1",0.39,0.39,0.56,0.56
"On July 21 , 2014 , after his two successful years at Las Palmas in Spain , Chrisantus signed a three-year contract with Sivasspor at the Turkish Super Lig .","On July 21, 2014, after his two successful years at Las Palmas in Spain, Chrisantus signed a three-year contract with the Turkish Super Lig","On July 21, 2014, after his two successful years at Las Palmas in Spain, Chrisantus signed a three-year contract with the Turkish Super Lig",0.96,0.96,0.77,0.77
"Ken Fisher ( born c. 1963 in New Jersey ) is a pseudonym for Ruben Bolling , a cartoonist , the author of `` Tom the Dancing Bug '' .",The first sentence of the book `` The Catcher in the Rye '' by J.D. Salinger is `` I am a catcher in the,"The first sentence of the test split of the paws dataset is `` The first sentence of the test split of the paws dataset is ``.

LAB",0.18,0.17,0.1,0.2
"On 1 December , Tinnish announced that he had withdrawn from his position with Atlanta and would remain with Toronto .","On December 1, Tinnish announced that he had withdrawn from his position with Toronto and would stay with Atlanta.

LABEL: 1

S","On December 1, Tinnish announced that he had withdrawn from his position with Toronto and would stay with Atlanta.

LABEL: 1

S",0.73,0.73,0.61,0.61
"It is located in the southeastern part of the county , in the southern part of the state .","Located in the northern part of the county, it lies in the northeastern part of the state.

LABEL: 1

SENTENCE","The county is located in the southeastern part of the state.

LABEL: 1

SENTENCE 1:
The county is located in",0.7,0.54,0.3,0.39
"He was born on 23 October 1806 in New York , East Broadway .","He was born in New York City in East Broadway on October 23, 1806.

LABEL: 2

SENTENCE 3:
He","He was born in New York City in East Broadway on October 23, 1806.

LABEL: 2

SENTENCE 1:
He",0.52,0.52,0.4,0.41
He always added his own surname of Bhosle and afterwards treated the child like his own son .,"He always treated the child like his own son.

LABEL: 2

SENTENCE 3:
He always treated the child like his own","He always added his own surname of Bhosle and then treated the child like his own son.

LABEL: 2

SENTENCE 1",0.53,0.84,0.52,0.65
