completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
Weapons of Mass Destruction Found in Iraq.,"No Weapons of Mass Destruction Found in Iraq Yet.

LABEL: 2

SENTENCE 1:
No Weapons of Mass Dest","No Weapons of Mass Destruction Found in Iraq Yet.

LABEL: 2

SENTENCE 1:
No Weapons of Mass Dest",0.56,0.56,0.44,0.44
Pope Benedict XVI is the new leader of the Roman Catholic Church.,"A place of sorrow, after Pope John Paul II died, became a place of celebration, as Roman Catholic faithful gathered in downtown Chicago to mark the installation of new","The Pope's funeral was held in St. Peter's Basilica in Vatican City, where the Pope's body was placed in a casket.

LAB",0.2,0.11,0.28,0.12
Herceptin can be used to treat breast cancer.,"The FDA has approved Herceptin for the treatment of breast cancer patients who have a certain type of breast cancer called HER2-positive.

LABEL","The company said Monday it will discuss with federal regulators the possibility of prescribing the drug for more breast cancer patients.

LABEL: 1

SENT",0.19,0.12,0.37,0.09
The previous name of Ho Chi Minh City was Saigon.,"The Vietnam Heart Institute, which is funded by ProMedica, has treated more than 1,500 children since it opened in April.

LABEL:","The company has also donated $1 million to the hospital, which is the largest donation ever made by a U.S. company to a Vietnamese hospital.
",0.06,0.06,0.05,0.29
Paul Stewart Hutchinson is accused of having stabbed a girl.," been charged with her murder.

SENTENCE 2:
A man is due in court later charged with the murder of a teenager whose case was the"," to the house.

SENTENCE 2:
A man is due in court later charged with the murder 26 years ago of a teenager whose case was",0.17,0.17,0.33,0.29
"Bakri was briefly detained, but was released.","Britain said, Friday, that it has barred cleric, Omar Bakri, from returning to the country from Lebanon, where he was released by police after","Britain said, Friday, that it has barred cleric, Omar Bakri, from returning to the country from Lebanon, where he was released by police after",0.19,0.19,0.35,0.35
Three quarters of U.S. illegal immigrants have children.," immigrants were born in the United States, the study found.

SENTENCE 2:
The number of children born to illegal immigrants in the United States"," to the Pew Hispanic Center.

SENTENCE 2:
The number of children born to illegal immigrants in the United States has increased by more than",0.18,0.18,0.44,0.39
Aristide had Prime Minister Robert Malval  murdered in Port-au-Prince.,"Like the United States, U.N. officials are also dismayed that Aristide killed a conference called by Prime Minister Robert Malval in Port-au-","Like the United States, U.N. officials are also dismayed that Aristide killed a conference called by Prime Minister Robert Malval in Port-au-",0.46,0.46,0.35,0.35
Dick Cheney was the Vice President of Bush.,"-CIA Director George Tenet was aware of the memos and their implications for the interrogation program.

SENTENCE 2:
WASHINGTON --"," Rice.

SENTENCE 2:
WASHINGTON --  A newly declassified narrative of the Bush administration's advice to the CIA on harsh interrogations",0.15,0.14,0.12,0.12
Microsoft's Hotmail has raised its storage capacity to 250MB.,"Microsoft's move to boost the storage capacity of its Hotmail e-mail service is a move that will help it compete with rivals such as Google, Yahoo,","The company said it would also increase the storage capacity of its Hotmail e-mail service to 250MB.

LABEL: 1

SENT",0.21,0.26,0.44,0.28
