completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
The church is filled with song.,"This church choir sings to the masses as they sing joyous songs from the book at a church.

LABEL: 1

SENTENCE 3","This church choir sings to the masses as they sing joyous songs from the book at a church.

LABEL: 1

SENTENCE 1",0.14,0.14,0.33,0.35
A choir singing at a baseball game.,"This church choir sings to the masses as they sing joyous songs from the book at a church.

LABEL: 1

SENTENCE 3","This church choir sings to the masses as they sing joyous songs from the book at a church.

LABEL: 3

SENTENCE 3",0.21,0.21,0.21,0.23
The woman is very happy.,"A woman with a green headscarf, blue shirt and a very big grin.

LABEL: 1

SENTENCE 1:
A","A woman with a green headscarf, blue shirt and a very big grin.

LABEL: 1

SENTENCE 1:
A",0.17,0.17,0.24,0.24
The woman has been shot.,"A woman with a green headscarf, blue shirt and a very big grin.

LABEL: 3

SENTENCE 3:
A","A woman with a green headscarf, blue shirt and a very big grin.

LABEL: 3

SENTENCE 3:
A",0.09,0.09,0.17,0.17
A man poses in front of an ad.,"A man with a package poses in front of an advertisement.

LABEL: 1

SENTENCE 3:
A man with a package poses","A young man with a package poses in front of an advertisement.

LABEL: 1

SENTENCE 1:
An old man with a",0.48,0.48,0.56,0.3
A man walks by an ad.,"An old man with a package poses in front of an advertisement.

LABEL: 2

SENTENCE 3:
An old man with a","A man with a package poses in front of an advertisement.

LABEL: 3

SENTENCE 3:
A man with a package poses",0.15,0.22,0.32,0.46
There is a statue that not many people seem to be interested in.,"A statue at a museum that is looking at.

LABEL: 1

SENTENCE 3:
A statue at a museum that is looking","A statue at a museum that no seems to be looking at.

LABEL: 1

SENTENCE 1:
A statue at a museum",0.24,0.29,0.35,0.46
Tons of people are gathered around the statue.,"A statue at a museum that is looking at.

LABEL: 1

SENTENCE 3:
A statue at a museum that is looking","A statue at a museum that no seems to be looking at.

LABEL: 3

SENTENCE 3:
A statue at a museum",0.07,0.07,0.36,0.32
A Land Rover is splashing water as it crosses a river.,"A land rover is being driven across a river.

LABEL: 1

SENTENCE 1:
A land rover is being driven","A land rover is being driven across a river.

LABEL: 1

SENTENCE 1:
A land rover is being driven",0.4,0.4,0.44,0.44
A vehicle is crossing a river.,"A land rover is being driven across a river.

LABEL: 1

SENTENCE 1:
A land rover is being driven","A land rover is being driven across a river.

LABEL: 1

SENTENCE 1:
A land rover is being driven",0.32,0.32,0.46,0.46
