completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
The day of the passage is usually when Christians praise the lord together," is below.

SENTENCE 2:
The Galaxy S8 is the most popular smartphone of the last couple of days. It is followed by the"," Samsung Galaxy S8.

SENTENCE 2:
It is Sunday today, let's take a look at the most popular posts of the last couple",0.28,0.17,0.17,0.25
No children were killed in the accident.," 2020 The Associated Press. All rights reserved. This material may not be published, broadcast, written or redistributed.

SENTENCE 2:
The"," in a lagoon in the Federated States of Micronesia.

SENTENCE 2:
All passengers and crew have survived a crash-land",0.07,0.15,0.01,0.22
Japanese like kit kat. ," Japan in 1971 and has since become a popular snack.

SENTENCE 2:
The Kit Kat chocolate bar made its debut in Japan in 1971 and",",000 yen ($20).

SENTENCE 2:
Tokyo - Food group Nestle is seeking to lure Japanese holiday shoppers with a taste",0.14,0.09,0.39,0.12
Law enforcement officers and the people at the Travis St. memorial do not show their support at the same time.," on July 7, 2016.

SENTENCE 2:
The governor is asking law enforcement officers to turn on red and blue flashing lights for one-"," intervals between 9 a.m. and 9:15 a.m.

SENTENCE 2:
The governor is asking law enforcement officers to turn",0.19,0.15,0.17,0.18
Pietro Grassano was once the country head for France.," of the firm's European institutional business.

SENTENCE 2:
Grassano, who has been with the company since 2002, was previously the","

SENTENCE 2:
Sept 4 (Reuters) - J.P. Morgan Asset Management, a unit of JPMorgan Chase & Co,",0.2,0.0,0.3,0.06
Fresca Opera is a unique type of music.," way it was meant to be heard.

SENTENCE 2:
Fresca Opera presents Opera Storytellers! Opera is a series of notes","

SENTENCE 2:
Fresca Opera presents Opera Storytellers! Opera is a series of notes from the soul. Arias performed with",0.36,0.37,0.38,0.32
U.S. stocks fell on Wednesday because of the Federal Reserve's stimulus measures,", at 1,680.30. The Nasdaq Composite Index was down 15.98 points, or 0.46 percent, at 3,7","'s 500 Index was down 11.98 points, or 0.69 percent, at 1,680.77. The Nasdaq Composite Index was down",0.06,0.11,0.13,0.22
Chinese workers were forced to evacuate in Libya.,"
The evacuation of Chinese workers in Libya highlights Beijing”s vulnerabilities as it partners with oil-rich regimes. Upheaval in Africa and the Middle East could","

SENTENCE 2:
The evacuation of Chinese workers in Libya highlights Beijing”s vulnerabilities as it partners with oil-rich regimes. Upheaval",0.24,0.28,0.23,0.24
The victims of the accident flipped over with the car before it crashed and they were injured.,", but they were not injured. The highway was closed for a short time while crews worked to clear the scene.

SENTENCE 2:
The"," flipped over. The driver and passenger were transported to a local hospital.

SENTENCE 2:
2 transported after vehicle flips on I-40",0.15,0.26,0.07,0.39
LONDON contains no z," Gregorio)

SENTENCE 2:
The sale of the 2068 gilt is part of a wider programme of gilt sales by the British"," for the 2068 gilt.

SENTENCE 2:
The 2068 gilt will be sold at a yield of 1.9 percent,",0.0,0.0,0.09,0.23
