completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
"If a substance has a ph value greater than 7,that indicates that it is base.","Based on the list provided of the uses of substances 1-7, estimate the pH of each unknown and record the number in the data table in the estimated pH","Based on the list provided of the uses of substances 1-7, estimate the pH of each unknown and record the number in the data table in the estimated pH",0.04,0.04,0.4,0.4
Invertebrates (and higher animals) can also be placed in one of two groups based on how they develop as embryos.,"If one or two            base pairs are changed (mutated), the embryo will fail to develop properly.

LABEL: positive

SENTENCE","If one or two            base pairs are changed (mutated), the embryo will fail to develop properly.

LABEL: positive

SENTENCE",0.15,0.15,0.15,0.15
Gases and liquids become solids at low temperatures.,"At high temperatures, the solid dye converts into a gas without ever becoming a liquid.

LABEL: liquid

SENTENCE 3:
At","The gas is a mixture of two gases, one of which is water.

LABEL: water

SENTENCE 1:
The gas is",0.14,0.07,0.16,0.27
The behavior of ideal gases is explained by kinetic molecular theory.,"Chapter 11 Gas and Kinetic Theory.

LABEL: neutral

SENTENCE 3:
Chapter 11 Gas and Kinetic Theory.

","Chapter 11 Gas and Kinetic Theory.

LABEL: neutral

SENTENCE 1:
Chapter 11 Gas and Kinetic Theory.

",0.15,0.15,0.45,0.46
Gabbro is a dark dense rock that can be found in the oceanic crust.,"The continental crust is less dense than the oceanic crust.

LABEL: positive

SENTENCE 3:
The continental crust is less dense","The continental crust is less dense than the oceanic crust.

LABEL: positive

SENTENCE 1:
The continental crust is less dense",0.29,0.29,0.36,0.37
Angiosperms are the most successful phylum of plants.,"The phylum for common marigolds is angiosperms.

LABEL: positive

SENTENCE 3:
The phylum for","The phylum for common marigolds is angiosperms.

LABEL: positive

SENTENCE 1:
The phylum for",0.27,0.27,0.28,0.28
Lyme disease is caused by bacteria.,"Lyme  Disease is caused by a bacterium that's transmitted by tick bite, but many infected people don't remember a bite.

LABEL:","Lyme  Disease is caused by a bacterium that's transmitted by tick bite, but many infected people don't remember a bite.

LABEL:",0.34,0.34,0.41,0.41
All of the petals together are called a corolla.,"Corolla Collective term for all the petals of a flower, these petals may be separate or fused together.

LABEL: entails

","Corolla Collective term for the center of a flower, this term is used to describe the center of the flower.

LABEL: entails

",0.28,0.13,0.3,0.23
A(n) polyploid is an individual with more than the correct number of chromosome sets.,"A polyploid is simply an organism that contains more than the usual two sets of chromosomes.

LABEL: is

SENTENCE 3:
","The polyploid is a plant.

LABEL: entails

SENTENCE 1:
The polyploid is a plant.

LABEL",0.46,0.2,0.29,0.4
Diabetes is unpreventable in the type one form but may be prevented by diet if it is of the second type.,"Because type 1 diabetes is a relatively rare disease, you may wish to focus on prevention only if you know your child is at special risk for the disease.
","The disease is caused by a defect in the insulin-producing beta cells of the pancreas.

LABEL: positive

SENTENCE 1:
",0.24,0.24,0.46,0.19
The gallbladder is near the right lobe of the liver.,"The liver is divided into the right lobe and left lobes.

LABEL: positive

SENTENCE 3:
The liver is divided into the","The liver is divided into the right lobe and left lobes.

LABEL: positive

SENTENCE 1:
The liver is divided into the",0.45,0.45,0.28,0.28
Nematodes can be a parasite of both.,"This can be dangerous to both plants and animals.

LABEL: positive

SENTENCE 1:
This can be dangerous to both plants and","The plant is a good example of a plant that is not a good example of a plant.

LABEL: positive

SENTENCE 1:",0.21,0.14,0.39,0.23
Backbone is another name for the vertebral column.,"Vertebrates are named for vertebrae, the series of bones that make up the vertebral column or backbone.

LABEL: is

SENT","The word ""vertebrates"" is a noun.

LABEL: entails

SENTENCE 1:
The word ""vertebrates"" is a",0.29,0.17,0.16,0.31
Terrestrial biomes are classified by climatic factors and types of primary producers.,"Ecoregions are classified by biome type, which are the major global plant communities determined by rainfall and climate.

LABEL: positive

","The biome type of the Ecoregion is determined by the rainfall and climate of the region.

LABEL: positive

SENTENCE",0.25,0.19,0.31,0.16
A neutron collides with an atom of u-235 during the basic nuclear fission process.,"It is the process of splitting a nucleus of a heavy isotope of a metal into two nuclei of a lighter isotope of the same metal.

LABEL:",The process of splitting atoms of a heavy isotope of Uranium-238 into two lighter isotopes of Uranium-235 and Uranium-238,0.14,0.16,0.22,0.41
The eighth planet from our sun is neptune.,"Neptune will be the farthest planet from the Sun until 1999.

LABEL: positive

SENTENCE 3:
Neptune","Neptune will be the farthest planet from the Sun until 1999.

LABEL: positive

SENTENCE 1:
Neptune",0.42,0.42,0.31,0.31
When liquid water changes to water vapor it is called evaporation.,"evaporation ---process by which water is changed from a liquid into a vapor.

LABEL: entails

SENTENCE 1:
evaporation","evaporation ---process by which water is changed from a liquid into a vapor.

LABEL: entails

SENTENCE 1:
evaporation",0.21,0.21,0.47,0.47
"Each species has a particular way of making a living, which is called its niche.","Niche An organism's niche is its unique role or &quot;way of making a living&quot; in the environment.

LABEL: entails","Niche An organism's niche is its unique role  or &quot;way of making a living&quot; in the environment.

LABEL:",0.27,0.28,0.41,0.51
Backbone is another name for the vertebral column.,"In the fish and all subsequent vertebrates, the notochord forms the backbone (or vertebral column).

LABEL: is

SENTENCE","In the fish and all subsequent vertebrates, the notochord forms the backbone (or vertebral column).

LABEL: entails

SENTENCE",0.23,0.23,0.1,0.09
Dynamics is the study of how forces affect the motion of objects.,"The object of the present research is to analyze how the benthic region affects the dynamics of the forcing flow.

LABEL: positive

S","The object of the present research is to analyze how the benthic region affects the dynamics of the forcing flow.

LABEL: neutral

S",0.29,0.29,0.21,0.22
Diabetes is unpreventable in the type one form but may be prevented by diet if it is of the second type.,"Studies have shown that good glucose control may prevent or delay complications of type 2 diabetes such as heart disease, kidney disease, or blindness.

LABEL:","The American Diabetes Association recommends that people with diabetes take their medications as prescribed and follow a healthy diet and exercise program.

LABEL: positive

S",0.13,0.09,0.24,0.17
"Reptiles are described by the term ectothermic, which means their internal temperature depends on the temperature of their environment.","Reptiles are cold-blooded, or ectothermic, meaning that their heat come from their environment.

LABEL: entails

S","Reptiles are cold-blooded, or ectothermic, meaning that their heat come from their environment.

LABEL: entails

S",0.33,0.33,0.32,0.32
Compounds containing the element carbon are the basis of all known life.,"Volatile Organic Compounds (VOC) Any compound containing carbon and hydrogen or containing carbon and hydrogen in combination with other elements.

LABEL: neutral","The chemical formula of the compound is C2H5OH.

LABEL: neutral

SENTENCE 1:
The chemical formula of the",0.18,0.21,0.33,0.26
A concave lens is thicker at the edges than it is in the middle.,"d is the lens thickness

LABEL: positive

SENTENCE 3:
d is the lens thickness

LABEL: negative

","d is the lens thickness

LABEL: positive

SENTENCE 1:
d is the lens thickness

LABEL: negative

",0.27,0.27,0.43,0.45
Metals start out as ore.,"It is a mineral of the lanthanide series, along with monazite.

LABEL: positive

SENTENCE 3:
","It is a metal of the lanthanide series, along with lanthanum.

LABEL: positive

SENTENCE 1:",0.0,0.0,0.13,0.19
Compounds containing the element carbon are the basis of all known life.,"hydrocarbon A compound containing only the elements carbon and hydrogen.

LABEL: neutral

SENTENCE 1:
hydrocarbon A compound containing only","hydrocarbon A compound containing only the elements carbon and hydrogen.

LABEL: neutral

SENTENCE 1:
hydrocarbon A compound containing only",0.19,0.19,0.35,0.35
Plasma matter makes up most of the universe.,"Plasmas, considered the fourth state of matter, comprise most of the universe by volume.

LABEL: entails

SENTENCE 3:","The plasma state of matter is the fourth state of matter.

LABEL: entails

SENTENCE 1:
The plasma state of matter is",0.38,0.28,0.21,0.28
"All of the populations that live in the same area make up a(n) community, which includes populations of different organisms.","A community is a group of organisms living in a given area.

LABEL: is

SENTENCE 3:
A community is a group","A community is a set of organisms living in a given area.

LABEL: entails

SENTENCE 1:
A community is a set",0.24,0.24,0.36,0.35
