completion,generated_general_completion,generated_guided_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
The carrot had a hole.,"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.

LABEL: 2

SENTENCE 1","I stuck a pin through a carrot. When I pulled the pin out, it had a hole.

LABEL: 1

SENTENCE 1",0.31,0.31,0.35,0.39
John is so short.,"John is so short that he couldn't see the stage with Billy in front of him.

LABEL: 2

SENTENCE 1:
","John couldn't see the stage with Billy in front of him because he is so short.

LABEL: 2

SENTENCE 1:
",0.32,0.32,0.29,0.3
The police were trying to stop the drug trade in the neighborhood.,"The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.

LABEL: 2

SENTENCE","The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.

LABEL: 1

SENTENCE",0.71,0.71,0.46,0.47
Steve influences him hugely.,"Steve is a good friend of Fred.

LABEL: 1

SENTENCE 1:
Steve is a good friend of Fred.

","Steve follows Fred's example in everything. He influences him hugely.

LABEL: 0

SENTENCE 1:
Steve follows Fred's example",0.09,0.33,0.63,0.65
"mother was careful not to disturb her, undressing and climbing back into her berth.","The next morning, Tatyana woke up to the sound of her mother's voice.

LABEL: 1

SENTENCE 1:
","When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.
",0.12,0.76,0.14,0.72
George was particularly eager to see it.,"George gave Eric free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.

LABEL: 1
","George gave Eric free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.

LABEL: 1
",0.45,0.45,0.43,0.43
John was very impressive.,"John was jogging through the park when he saw a man juggling watermelons. He was very impressive.

LABEL: 1

S","John was jogging through the park when he saw a man juggling watermelons. He was very impressive.

LABEL: 1

S",0.33,0.33,0.28,0.28
The pot was too tall.,"I put the pot on the shelf.

LABEL: 2

SENTENCE 1:
I couldn't put the pot on the shelf because","I couldn't put the pot on the shelf because it was too tall.

LABEL: 2

SENTENCE 1:
I couldn't",0.15,0.38,0.48,0.34
There were simply not enough copies of the newsletter.,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.

LABEL:","We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.

LABEL:",0.35,0.35,0.37,0.37
The judges were so advanced.,"The judges couldn't figure out which respondents were the chatbots because they were so advanced.

LABEL: 1

SENTENCE 1:","The judges couldn't figure out which respondents were the chatbots because they were so advanced.

LABEL: 1

SENTENCE 1:",0.4,0.4,0.24,0.24
I took the water bottle out of the backpack so that the backpack would be lighter.,"I put the water bottle back into the backpack.

LABEL: 2

SENTENCE 1:
I took the water bottle out of the","I took the water bottle out of the backpack so that it would be lighter.

LABEL: 1

SENTENCE 1:
I took",0.43,0.76,0.34,0.43
The table is too narrow.,"The table is too narrow to fit through the doorway.

LABEL: 1

SENTENCE 1:
The table won't fit through the","The table won't fit through the doorway because it is too narrow.

LABEL: 0

SENTENCE 1:
The table won't",0.38,0.38,0.38,0.34
I took the water bottle out of the backpack so that the backpack would be handy.,"I put the water bottle back in the backpack.

LABEL: 1

SENTENCE 1:
I took the water bottle out of the","I took the water bottle out of the backpack so that it would be handy.

LABEL: 0

SENTENCE 1:
I took",0.43,0.76,0.36,0.45
The police were coming from so far away.,"The firemen arrived after the police because they were coming from so far away.

LABEL: 1

SENTENCE 1:
The fire","The firemen arrived after the police because they were coming from so far away.

LABEL: 0

SENTENCE 1:
The fire",0.57,0.57,0.36,0.36
Dad could not help him now.,"Larry was very sad.

LABEL: 1

SENTENCE 3:
Larry was very sad because he could not help his father","Dad said that his boss at the railroad company would not want anyone but him to work in the office.

LABEL: 1

SENTENCE",0.24,0.21,0.6,0.15
The cup was empty.,"I poured water from the bottle into the cup until it was full.

LABEL: 1

SENTENCE 1:
I poured water from","I poured water from the bottle into the cup until it was full.

LABEL: 1

SENTENCE 1:
I poured water from",0.24,0.24,0.37,0.37
The cake has a lot of butter in it.,"I put the cake away in the refrigerator. It has a lot of butter in it.

LABEL: 2

SENTENCE 1:
","I put the cake away in the refrigerator. It has a lot of butter in it.

LABEL: 1

SENTENCE 1:
",0.62,0.62,0.44,0.46
Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.,"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey","Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey",0.33,0.33,0.4,0.4
The foxes have gotten very bold.,"The foxes are getting in at night and attacking the chickens. They have gotten very bold.

LABEL: 2

SENTENCE 1:","The foxes are getting in at night and attacking the chickens. They have gotten very bold.

LABEL: 1

SENTENCE 1:",0.46,0.46,0.41,0.44
"The piano was broken, so he had to stand instead.","Sam stood up and walked over to the piano.

LABEL: 1

SENTENCE 1:
Sam pulled up a chair to the piano","Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.

LABEL: 1

SENTENCE",0.19,0.65,0.45,0.47
Susan did not get an answer.,"Jane knocked on Susan's door but she did not get an answer.

LABEL: 1

SENTENCE 1:
Jane knocked on Susan","Jane knocked on Susan's door but she did not get an answer.

LABEL: 1

SENTENCE 1:
Jane knocked on Susan",0.44,0.44,0.53,0.53
Adam would have won.,"Adam was playing cards with Bob and was way ahead. If Bob hadn't had a sudden run of good luck, he would have won.

LABEL","Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of bad luck, he would have won.

LABEL",0.27,0.27,0.26,0.23
The table broke.,"I put the butterfly wing on the table and it broke.

LABEL: 1

SENTENCE 1:
I put the butterfly wing on","I put the butterfly wing on the table and it broke.

LABEL: 0

SENTENCE 1:
I put the butterfly wing on",0.25,0.25,0.47,0.44
Paul wasn't successful.,"Paul tried to call George on the phone, but he wasn't successful.

LABEL: 2

SENTENCE 1:
Paul tried to","Paul tried to call George on the phone, but he wasn't successful.

LABEL: 2

SENTENCE 1:
Paul tried to",0.33,0.33,0.31,0.31
The shark had better get away to safety fast!,"The duck is swimming away from the shark.

LABEL: 1

SENTENCE 1:
The duck is swimming away from the shark.","Look! There is a shark swimming right below that duck! It had better get away to safety fast!

LABEL: 0

SENTENCE",0.21,0.53,0.58,0.4
The suitcase is too large.,"The trophy is too large for the brown suitcase.

LABEL: 1

SENTENCE 1:
The trophy doesn't fit into the brown","The trophy doesn't fit into the brown suitcase because it is too large.

LABEL: 0

SENTENCE 1:
The trophy doesn",0.31,0.38,0.48,0.31
Joe is 30 years older.,"Joe's uncle is still a good tennis player.

LABEL: 1

SENTENCE 1:
Joe's uncle can still beat him at","Joe's uncle can still beat him at tennis, even though he is 30 years older.

LABEL: 0

SENTENCE 1:
",0.15,0.4,0.29,0.23
The large ball was made of steel.,"The ball was made of steel.

LABEL: 2

SENTENCE 1:
The large ball crashed right through the table because it was","The large ball crashed right through the table because it was made of steel.

LABEL: 1

SENTENCE 1:
The large ball",0.43,0.5,0.36,0.38
The crutches should be better.,"Sam is walking with crutches.

LABEL: 1

SENTENCE 1:
Sam broke both his ankles and he's walking with","Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.

LABEL: 0",0.08,0.28,0.33,0.39
His friend Henry let him stack Grant and his family in his barn where they would dry.,"Grant and Henry were friends.

LABEL: 1

SENTENCE 2:
Grant and Henry were friends.

LABEL: 2","Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they",0.18,0.46,0.34,0.43
Jane invited her to come out.,"Jane went out, and Susan followed her.

LABEL: 2

SENTENCE 1:
Jane knocked on the door, and Susan answered","Jane knocked on the door, and Susan answered it. She invited her to come out.

LABEL: 2

SENTENCE 1:
",0.16,0.48,0.47,0.38
Bill is very cruel.,"Bill was very cruel. He was toying with the injured bird.

LABEL: 2

SENTENCE 3:
Bill was very cruel","Dan had to stop Bill from toying with the injured bird. He is very cruel.

LABEL: 1

SENTENCE 1:
",0.26,0.35,0.45,0.28
"Tom said ""Check"" to Ralph as he took Ralph's bishop.","Ralph said ""Check"" to Tom as he took his bishop.

LABEL: 2

SENTENCE 1:
Tom said ""Check","Tom said ""Check"" to Ralph as he took his bishop.

LABEL: 2

SENTENCE 1:
Tom said ""Check""",0.5,0.64,0.51,0.66
